原始数据+原始评估
Start training...
Epoch: [7][4600/6349]   Loss 0.1651 (0.1219)    Accuracy 0.703 (0.751)
Epoch: [7][4800/6349]   Loss 0.0893 (0.1220)    Accuracy 0.734 (0.751)
Epoch: [7][5000/6349]   Loss 0.1045 (0.1224)    Accuracy 0.719 (0.750)
Epoch: [7][5200/6349]   Loss 0.1483 (0.1225)    Accuracy 0.672 (0.750)
Epoch: [7][5400/6349]   Loss 0.0810 (0.1225)    Accuracy 0.828 (0.751)
Epoch: [7][5600/6349]   Loss 0.1518 (0.1227)    Accuracy 0.688 (0.750)
Epoch: [7][5800/6349]   Loss 0.1106 (0.1229)    Accuracy 0.797 (0.750)
Epoch: [7][6000/6349]   Loss 0.2566 (0.1231)    Accuracy 0.641 (0.750)
Epoch: [7][6200/6349]   Loss 0.0696 (0.1233)    Accuracy 0.844 (0.750)
Evaluating: 100%|█████████████████████████████████████████████████████████████████████| 794/794 [00:16<00:00, 48.52it/s]

 *Evaluation Loss: 0.2752        Accuracy: 0.703

Epoch: [8][0/6349]      Loss 0.0706 (0.0706)    Accuracy 0.859 (0.859)
Epoch: [8][200/6349]    Loss 0.0808 (0.1112)    Accuracy 0.719 (0.760)
Epoch: [8][400/6349]    Loss 0.0904 (0.1080)    Accuracy 0.719 (0.764)
Epoch: [8][600/6349]    Loss 0.0638 (0.1076)    Accuracy 0.875 (0.764)
Epoch: [8][800/6349]    Loss 0.1067 (0.1076)    Accuracy 0.750 (0.763)
Epoch: [8][1000/6349]   Loss 0.0890 (0.1069)    Accuracy 0.750 (0.763)
Epoch: [8][1200/6349]   Loss 0.1079 (0.1064)    Accuracy 0.781 (0.764)
Epoch: [8][1400/6349]   Loss 0.1430 (0.1065)    Accuracy 0.688 (0.764)
Epoch: [8][1600/6349]   Loss 0.0892 (0.1063)    Accuracy 0.750 (0.764)
Epoch: [8][1800/6349]   Loss 0.0905 (0.1064)    Accuracy 0.766 (0.763)
Epoch: [8][2000/6349]   Loss 0.1366 (0.1065)    Accuracy 0.734 (0.764)
Epoch: [8][2200/6349]   Loss 0.0684 (0.1069)    Accuracy 0.781 (0.763)
Epoch: [8][2400/6349]   Loss 0.0901 (0.1073)    Accuracy 0.781 (0.763)
Epoch: [8][2600/6349]   Loss 0.1255 (0.1077)    Accuracy 0.875 (0.763)
Epoch: [8][2800/6349]   Loss 0.2152 (0.1083)    Accuracy 0.719 (0.762)
Epoch: [8][3000/6349]   Loss 0.0929 (0.1086)    Accuracy 0.812 (0.763)
Epoch: [8][3200/6349]   Loss 0.1146 (0.1089)    Accuracy 0.812 (0.762)
Epoch: [8][3400/6349]   Loss 0.1511 (0.1091)    Accuracy 0.688 (0.762)
Epoch: [8][3600/6349]   Loss 0.0946 (0.1094)    Accuracy 0.766 (0.762)
Epoch: [8][3800/6349]   Loss 0.1141 (0.1094)    Accuracy 0.781 (0.762)
Epoch: [8][4000/6349]   Loss 0.1236 (0.1094)    Accuracy 0.812 (0.762)
